"OSFparticipantID","Phigh","Vhighsafe","Vlowsafe","Vhighrisky","Vlowrisky","Ambiguity","choice","condition1","peer","Age.bins"
1,0.5,2.08,1.52,3.74,0.11,0.6,1,"solo","solo","12-13"
1,0.5,2.44,2.3,5.11,0.12,0.8,1,"solo","solo","12-13"
1,0.5,2.44,2.3,5.11,0.12,0,1,"solo","solo","12-13"
1,0.8,2.83,2.66,5.55,0.16,0.6,0,"solo","solo","12-13"
1,0.5,2.55,2.49,5.08,0.13,0.8,1,"solo","solo","12-13"
1,0.6,2.67,2.14,5.16,0.14,0.8,0,"solo","solo","12-13"
1,0.9,2.55,2.49,5.08,0.13,0,1,"solo","solo","12-13"
1,0.5,3.32,2.31,5.68,0.17,0.4,1,"solo","solo","12-13"
1,0.6,1.96,1.8,3.86,0.09,0.4,0,"solo","solo","12-13"
1,0.4,3.32,2.31,5.68,0.17,0.6,1,"solo","solo","12-13"
1,0.6,2.67,2.14,5.16,0.14,0,1,"solo","solo","12-13"
1,0.8,2.08,1.52,3.74,0.11,0,1,"solo","solo","12-13"
1,0.9,2.08,1.52,3.74,0.11,0.6,0,"solo","solo","12-13"
1,0.7,2.65,2.52,5.53,0.13,0.6,1,"solo","solo","12-13"
1,0.9,2.67,2.14,5.16,0.14,0.2,0,"solo","solo","12-13"
1,0.6,2.55,2.49,5.08,0.13,0.6,0,"solo","solo","12-13"
1,0.5,1.96,1.8,3.86,0.09,0.6,0,"solo","solo","12-13"
1,0.6,2.08,1.52,3.74,0.11,0.4,0,"solo","solo","12-13"
1,0.7,2.83,2.66,5.55,0.16,0,1,"solo","solo","12-13"
1,0.6,2.65,2.52,5.53,0.13,0.8,0,"solo","solo","12-13"
1,0.7,3.32,2.31,5.68,0.17,0,1,"solo","solo","12-13"
1,0.9,2.44,2.3,5.11,0.12,0.8,0,"solo","solo","12-13"
1,0.8,2.67,2.14,5.16,0.14,0.4,1,"solo","solo","12-13"
1,0.9,2.65,2.52,5.53,0.13,0.2,1,"solo","solo","12-13"
1,0.4,2.55,2.49,5.08,0.13,0.2,0,"solo","solo","12-13"
1,0.4,2.67,2.14,5.16,0.14,0.4,1,"solo","solo","12-13"
1,0.5,2.65,2.52,5.53,0.13,0.2,0,"solo","solo","12-13"
1,0.6,2.83,2.66,5.55,0.16,0.2,1,"solo","solo","12-13"
1,0.8,2.08,1.52,3.74,0.11,0.8,0,"solo","solo","12-13"
1,0.6,2.65,2.52,5.53,0.13,0,1,"solo","solo","12-13"
1,0.7,1.96,1.8,3.86,0.09,0.2,1,"solo","solo","12-13"
1,0.4,1.96,1.8,3.86,0.09,0,0,"solo","solo","12-13"
1,0.4,2.08,1.52,3.74,0.11,0,0,"solo","solo","12-13"
1,0.4,2.83,2.66,5.55,0.16,0.6,1,"solo","solo","12-13"
1,0.7,2.83,2.66,5.55,0.16,0.8,0,"solo","solo","12-13"
1,0.8,2.44,2.3,5.11,0.12,0.2,1,"solo","solo","12-13"
1,0.5,2.83,2.66,5.55,0.16,0.4,0,"solo","solo","12-13"
1,0.9,1.96,1.8,3.86,0.09,0.6,0,"solo","solo","12-13"
1,0.8,1.96,1.8,3.86,0.09,0,1,"solo","solo","12-13"
1,0.4,2.08,1.52,3.74,0.11,0.8,0,"solo","solo","12-13"
1,0.9,2.44,2.3,5.11,0.12,0,1,"solo","solo","12-13"
1,0.4,1.96,1.8,3.86,0.09,0.8,1,"solo","solo","12-13"
1,0.6,2.44,2.3,5.11,0.12,0.6,1,"solo","solo","12-13"
1,0.7,2.08,1.52,3.74,0.11,0.2,1,"solo","solo","12-13"
1,0.7,2.67,2.14,5.16,0.14,0.6,0,"solo","solo","12-13"
1,0.7,2.44,2.3,5.11,0.12,0.4,1,"solo","solo","12-13"
1,0.6,3.32,2.31,5.68,0.17,0.2,1,"solo","solo","12-13"
1,0.7,2.55,2.49,5.08,0.13,0.4,0,"solo","solo","12-13"
1,0.8,2.65,2.52,5.53,0.13,0.4,1,"solo","solo","12-13"
1,0.8,1.96,1.8,3.86,0.09,0.8,0,"solo","solo","12-13"
1,0.5,2.67,2.14,5.16,0.14,0.2,0,"solo","solo","12-13"
1,0.8,2.55,2.49,5.08,0.13,0.2,1,"solo","solo","12-13"
1,0.4,2.44,2.3,5.11,0.12,0.2,0,"solo","solo","12-13"
1,0.7,3.32,2.31,5.68,0.17,0.8,0,"solo","solo","12-13"
1,0.5,2.55,2.49,5.08,0.13,0,1,"solo","solo","12-13"
1,0.4,2.65,2.52,5.53,0.13,0.4,0,"solo","solo","12-13"
1,0.9,2.83,2.66,5.55,0.16,0.4,1,"solo","solo","12-13"
1,0.8,3.32,2.31,5.68,0.17,0.6,0,"solo","solo","12-13"
1,0.9,2.55,2.49,5.08,0.13,0.8,0,"solo","solo","12-13"
1,0.9,3.32,2.31,5.68,0.17,0.4,1,"solo","solo","12-13"
1,0.8,1.96,1.8,3.86,0.09,0.8,0,"socialrisky","risky","12-13"
1,0.6,2.08,1.52,3.74,0.11,0.4,0,"socialrisky","risky","12-13"
1,0.5,1.96,1.8,3.86,0.09,0.6,0,"socialrisky","risky","12-13"
1,0.4,3.32,2.31,5.68,0.17,0.2,1,"socialsafe","random","12-13"
1,0.8,2.08,1.52,3.74,0.11,0,0,"socialrisky","safe","12-13"
1,0.4,1.96,1.8,3.86,0.09,0.4,0,"socialsafe","random","12-13"
1,0.6,3.32,2.31,5.68,0.17,0.6,0,"socialsafe","safe","12-13"
1,0.4,2.65,2.52,5.53,0.13,0.8,0,"socialsafe","safe","12-13"
1,0.9,2.67,2.14,5.16,0.14,0.2,1,"socialrisky","random","12-13"
1,0.5,2.83,2.66,5.55,0.16,0.4,0,"socialrisky","risky","12-13"
1,0.7,3.32,2.31,5.68,0.17,0,1,"socialrisky","risky","12-13"
1,0.6,2.65,2.52,5.53,0.13,0,1,"socialrisky","random","12-13"
1,0.5,2.55,2.49,5.08,0.13,0,1,"socialrisky","random","12-13"
1,0.7,2.55,2.49,5.08,0.13,0,1,"socialsafe","risky","12-13"
1,0.7,2.44,2.3,5.11,0.12,0.8,0,"socialsafe","risky","12-13"
1,0.4,2.08,1.52,3.74,0.11,0,0,"socialrisky","random","12-13"
1,0.4,2.08,1.52,3.74,0.11,0.8,1,"socialrisky","risky","12-13"
1,0.8,2.83,2.66,5.55,0.16,0.6,1,"socialrisky","risky","12-13"
1,0.7,2.65,2.52,5.53,0.13,0.6,1,"socialrisky","safe","12-13"
1,0.5,2.83,2.66,5.55,0.16,0,1,"socialsafe","random","12-13"
1,0.7,2.44,2.3,5.11,0.12,0,1,"socialsafe","safe","12-13"
1,0.9,2.55,2.49,5.08,0.13,0,1,"socialrisky","risky","12-13"
1,0.9,2.44,2.3,5.11,0.12,0.8,0,"socialrisky","risky","12-13"
1,0.8,3.32,2.31,5.68,0.17,0.2,1,"socialsafe","risky","12-13"
1,0.9,2.65,2.52,5.53,0.13,0.6,0,"socialsafe","safe","12-13"
1,0.8,1.96,1.8,3.86,0.09,0,1,"socialrisky","random","12-13"
1,0.8,3.32,2.31,5.68,0.17,0.6,0,"socialrisky","risky","12-13"
1,0.8,2.55,2.49,5.08,0.13,0.6,1,"socialsafe","safe","12-13"
1,0.9,2.67,2.14,5.16,0.14,0.6,0,"socialsafe","safe","12-13"
1,0.9,1.96,1.8,3.86,0.09,0.6,1,"socialrisky","safe","12-13"
1,0.9,2.08,1.52,3.74,0.11,0.6,1,"socialrisky","risky","12-13"
1,0.4,2.67,2.14,5.16,0.14,0,0,"socialsafe","random","12-13"
1,0.4,2.83,2.66,5.55,0.16,0.2,0,"socialsafe","random","12-13"
1,0.6,1.96,1.8,3.86,0.09,0,0,"socialsafe","random","12-13"
1,0.9,2.83,2.66,5.55,0.16,0,0,"socialsafe","safe","12-13"
1,0.7,1.96,1.8,3.86,0.09,0.2,1,"socialrisky","safe","12-13"
1,0.5,2.55,2.49,5.08,0.13,0.8,1,"socialrisky","random","12-13"
1,0.9,2.55,2.49,5.08,0.13,0.8,0,"socialrisky","random","12-13"
1,0.9,2.55,2.49,5.08,0.13,0.4,0,"socialsafe","safe","12-13"
1,0.8,2.67,2.14,5.16,0.14,0.8,0,"socialsafe","safe","12-13"
1,0.7,3.32,2.31,5.68,0.17,0.4,0,"socialsafe","random","12-13"
1,0.9,1.96,1.8,3.86,0.09,0.2,1,"socialsafe","random","12-13"
1,0.7,2.55,2.49,5.08,0.13,0.8,0,"socialsafe","safe","12-13"
1,0.7,2.44,2.3,5.11,0.12,0.4,0,"socialrisky","risky","12-13"
1,0.6,2.65,2.52,5.53,0.13,0.4,1,"socialsafe","random","12-13"
1,0.5,2.67,2.14,5.16,0.14,0.2,1,"socialrisky","random","12-13"
1,0.6,1.96,1.8,3.86,0.09,0.8,0,"socialsafe","risky","12-13"
1,0.5,2.65,2.52,5.53,0.13,0.6,1,"socialsafe","risky","12-13"
1,0.7,3.32,2.31,5.68,0.17,0.8,1,"socialrisky","risky","12-13"
1,0.4,2.67,2.14,5.16,0.14,0.8,0,"socialsafe","safe","12-13"
1,0.6,2.67,2.14,5.16,0.14,0.8,1,"socialrisky","risky","12-13"
1,0.8,2.67,2.14,5.16,0.14,0.4,1,"socialrisky","risky","12-13"
1,0.8,2.83,2.66,5.55,0.16,0.2,1,"socialsafe","risky","12-13"
1,0.8,2.65,2.52,5.53,0.13,0.8,0,"socialsafe","safe","12-13"
1,0.9,2.08,1.52,3.74,0.11,0.2,1,"socialsafe","random","12-13"
1,0.4,1.96,1.8,3.86,0.09,0,0,"socialrisky","safe","12-13"
1,0.5,2.08,1.52,3.74,0.11,0.2,1,"socialsafe","random","12-13"
1,0.9,3.32,2.31,5.68,0.17,0.8,0,"socialsafe","random","12-13"
1,0.9,3.32,2.31,5.68,0.17,0,1,"socialsafe","safe","12-13"
1,0.7,2.83,2.66,5.55,0.16,0,1,"socialrisky","safe","12-13"
1,0.5,2.83,2.66,5.55,0.16,0.8,0,"socialsafe","safe","12-13"
1,0.8,2.65,2.52,5.53,0.13,0,1,"socialsafe","random","12-13"
1,0.8,2.65,2.52,5.53,0.13,0.4,1,"socialrisky","risky","12-13"
1,0.6,2.08,1.52,3.74,0.11,0,1,"socialsafe","safe","12-13"
1,0.7,2.83,2.66,5.55,0.16,0.4,0,"socialsafe","safe","12-13"
1,0.9,3.32,2.31,5.68,0.17,0.4,1,"socialrisky","safe","12-13"
1,0.6,2.83,2.66,5.55,0.16,0.6,0,"socialsafe","random","12-13"
1,0.5,2.44,2.3,5.11,0.12,0,0,"socialrisky","random","12-13"
1,0.9,2.44,2.3,5.11,0.12,0,1,"socialrisky","risky","12-13"
1,0.6,2.67,2.14,5.16,0.14,0,1,"socialrisky","risky","12-13"
1,0.7,2.55,2.49,5.08,0.13,0.4,0,"socialrisky","random","12-13"
1,0.5,2.08,1.52,3.74,0.11,0.6,0,"socialrisky","risky","12-13"
1,0.5,3.32,2.31,5.68,0.17,0.8,1,"socialsafe","random","12-13"
1,0.6,2.44,2.3,5.11,0.12,0.6,0,"socialrisky","random","12-13"
1,0.9,2.44,2.3,5.11,0.12,0.4,1,"socialsafe","risky","12-13"
1,0.7,1.96,1.8,3.86,0.09,0.6,0,"socialsafe","safe","12-13"
1,0.7,2.08,1.52,3.74,0.11,0.2,1,"socialrisky","random","12-13"
1,0.5,2.44,2.3,5.11,0.12,0.4,0,"socialsafe","safe","12-13"
1,0.8,2.55,2.49,5.08,0.13,0.2,1,"socialrisky","risky","12-13"
1,0.7,2.67,2.14,5.16,0.14,0.6,0,"socialrisky","random","12-13"
1,0.4,2.65,2.52,5.53,0.13,0.4,0,"socialrisky","random","12-13"
1,0.7,2.65,2.52,5.53,0.13,0.2,1,"socialsafe","safe","12-13"
1,0.7,2.67,2.14,5.16,0.14,0.2,1,"socialsafe","random","12-13"
1,0.9,2.83,2.66,5.55,0.16,0.8,0,"socialsafe","risky","12-13"
1,0.6,2.65,2.52,5.53,0.13,0.8,0,"socialrisky","risky","12-13"
1,0.4,3.32,2.31,5.68,0.17,0.6,0,"socialrisky","risky","12-13"
1,0.8,2.08,1.52,3.74,0.11,0.4,1,"socialsafe","safe","12-13"
1,0.4,2.55,2.49,5.08,0.13,0.6,0,"socialsafe","safe","12-13"
1,0.8,2.08,1.52,3.74,0.11,0.8,0,"socialrisky","safe","12-13"
1,0.4,2.44,2.3,5.11,0.12,0.2,0,"socialrisky","random","12-13"
1,0.5,2.44,2.3,5.11,0.12,0.8,1,"socialrisky","risky","12-13"
1,0.5,1.96,1.8,3.86,0.09,0.2,1,"socialsafe","safe","12-13"
1,0.4,2.44,2.3,5.11,0.12,0.6,0,"socialsafe","risky","12-13"
1,0.8,1.96,1.8,3.86,0.09,0.4,1,"socialsafe","safe","12-13"
1,0.5,2.67,2.14,5.16,0.14,0.6,0,"socialsafe","risky","12-13"
1,0.7,2.83,2.66,5.55,0.16,0.8,0,"socialrisky","risky","12-13"
1,0.7,2.08,1.52,3.74,0.11,0.6,0,"socialsafe","random","12-13"
1,0.5,3.32,2.31,5.68,0.17,0.4,1,"socialrisky","risky","12-13"
1,0.8,2.44,2.3,5.11,0.12,0.2,1,"socialrisky","risky","12-13"
1,0.4,2.83,2.66,5.55,0.16,0.6,0,"socialrisky","risky","12-13"
1,0.8,2.67,2.14,5.16,0.14,0,1,"socialsafe","safe","12-13"
1,0.8,2.44,2.3,5.11,0.12,0.6,0,"socialsafe","safe","12-13"
1,0.6,2.67,2.14,5.16,0.14,0.4,0,"socialsafe","safe","12-13"
1,0.6,2.08,1.52,3.74,0.11,0.8,0,"socialsafe","safe","12-13"
1,0.6,1.96,1.8,3.86,0.09,0.4,1,"socialrisky","random","12-13"
1,0.5,3.32,2.31,5.68,0.17,0,1,"socialsafe","random","12-13"
1,0.6,2.55,2.49,5.08,0.13,0.6,0,"socialrisky","safe","12-13"
1,0.9,2.65,2.52,5.53,0.13,0.2,1,"socialrisky","random","12-13"
1,0.6,2.44,2.3,5.11,0.12,0.2,1,"socialsafe","safe","12-13"
1,0.4,2.67,2.14,5.16,0.14,0.4,0,"socialrisky","random","12-13"
1,0.4,2.55,2.49,5.08,0.13,0.2,0,"socialrisky","random","12-13"
1,0.4,1.96,1.8,3.86,0.09,0.8,1,"socialrisky","risky","12-13"
1,0.6,3.32,2.31,5.68,0.17,0.2,0,"socialrisky","random","12-13"
1,0.6,2.83,2.66,5.55,0.16,0.2,1,"socialrisky","safe","12-13"
1,0.5,2.55,2.49,5.08,0.13,0.4,1,"socialsafe","safe","12-13"
1,0.9,2.83,2.66,5.55,0.16,0.4,1,"socialrisky","risky","12-13"
1,0.6,2.55,2.49,5.08,0.13,0.2,1,"socialsafe","random","12-13"
1,0.5,2.65,2.52,5.53,0.13,0.2,0,"socialrisky","risky","12-13"
1,0.4,2.08,1.52,3.74,0.11,0.4,1,"socialsafe","random","12-13"
1,0.4,2.65,2.52,5.53,0.13,0,0,"socialsafe","safe","12-13"
2,0.5,2.44,2.3,5.11,0.12,0,0,"solo","solo","12-13"
2,0.9,1.96,1.8,3.86,0.09,0.6,1,"solo","solo","12-13"
2,0.5,2.65,2.52,5.53,0.13,0.2,0,"solo","solo","12-13"
2,0.9,2.83,2.66,5.55,0.16,0.4,1,"solo","solo","12-13"
2,0.4,2.65,2.52,5.53,0.13,0.4,1,"solo","solo","12-13"
2,0.9,2.55,2.49,5.08,0.13,0,1,"solo","solo","12-13"
2,0.7,3.32,2.31,5.68,0.17,0,1,"solo","solo","12-13"
2,0.4,1.96,1.8,3.86,0.09,0,1,"solo","solo","12-13"
2,0.8,3.32,2.31,5.68,0.17,0.6,1,"solo","solo","12-13"
2,0.7,2.55,2.49,5.08,0.13,0.4,0,"solo","solo","12-13"
2,0.7,3.32,2.31,5.68,0.17,0.8,1,"solo","solo","12-13"
2,0.6,2.65,2.52,5.53,0.13,0.8,1,"solo","solo","12-13"
2,0.6,1.96,1.8,3.86,0.09,0.4,1,"solo","solo","12-13"
2,0.7,2.83,2.66,5.55,0.16,0.8,0,"solo","solo","12-13"
2,0.7,2.65,2.52,5.53,0.13,0.6,1,"solo","solo","12-13"
2,0.8,1.96,1.8,3.86,0.09,0.8,0,"solo","solo","12-13"
2,0.6,2.67,2.14,5.16,0.14,0,1,"solo","solo","12-13"
2,0.6,3.32,2.31,5.68,0.17,0.2,1,"solo","solo","12-13"
2,0.4,3.32,2.31,5.68,0.17,0.6,1,"solo","solo","12-13"
2,0.9,2.08,1.52,3.74,0.11,0.6,0,"solo","solo","12-13"
2,0.4,2.55,2.49,5.08,0.13,0.2,0,"solo","solo","12-13"
2,0.7,2.83,2.66,5.55,0.16,0,1,"solo","solo","12-13"
2,0.5,2.55,2.49,5.08,0.13,0,0,"solo","solo","12-13"
2,0.5,2.44,2.3,5.11,0.12,0.8,0,"solo","solo","12-13"
2,0.5,2.67,2.14,5.16,0.14,0.2,1,"solo","solo","12-13"
2,0.4,2.08,1.52,3.74,0.11,0,1,"solo","solo","12-13"
2,0.8,2.08,1.52,3.74,0.11,0.8,0,"solo","solo","12-13"
2,0.9,2.67,2.14,5.16,0.14,0.2,0,"solo","solo","12-13"
2,0.4,2.83,2.66,5.55,0.16,0.6,1,"solo","solo","12-13"
2,0.8,2.44,2.3,5.11,0.12,0.2,0,"solo","solo","12-13"
2,0.8,2.65,2.52,5.53,0.13,0.4,0,"solo","solo","12-13"
2,0.6,2.83,2.66,5.55,0.16,0.2,0,"solo","solo","12-13"
2,0.9,2.44,2.3,5.11,0.12,0,1,"solo","solo","12-13"
2,0.7,2.44,2.3,5.11,0.12,0.4,1,"solo","solo","12-13"
2,0.5,2.08,1.52,3.74,0.11,0.6,0,"solo","solo","12-13"
2,0.8,1.96,1.8,3.86,0.09,0,1,"solo","solo","12-13"
2,0.9,2.65,2.52,5.53,0.13,0.2,0,"solo","solo","12-13"
2,0.4,1.96,1.8,3.86,0.09,0.8,1,"solo","solo","12-13"
2,0.8,2.55,2.49,5.08,0.13,0.2,0,"solo","solo","12-13"
2,0.5,2.55,2.49,5.08,0.13,0.8,1,"solo","solo","12-13"
2,0.9,2.44,2.3,5.11,0.12,0.8,1,"solo","solo","12-13"
2,0.5,1.96,1.8,3.86,0.09,0.6,1,"solo","solo","12-13"
2,0.5,2.83,2.66,5.55,0.16,0.4,1,"solo","solo","12-13"
2,0.6,2.67,2.14,5.16,0.14,0.8,1,"solo","solo","12-13"
2,0.9,3.32,2.31,5.68,0.17,0.4,1,"solo","solo","12-13"
2,0.8,2.83,2.66,5.55,0.16,0.6,0,"solo","solo","12-13"
2,0.7,2.08,1.52,3.74,0.11,0.2,0,"solo","solo","12-13"
2,0.4,2.08,1.52,3.74,0.11,0.8,0,"solo","solo","12-13"
2,0.4,2.67,2.14,5.16,0.14,0.4,1,"solo","solo","12-13"
2,0.8,2.08,1.52,3.74,0.11,0,0,"solo","solo","12-13"
2,0.7,1.96,1.8,3.86,0.09,0.2,1,"solo","solo","12-13"
2,0.4,2.44,2.3,5.11,0.12,0.2,1,"solo","solo","12-13"
2,0.6,2.44,2.3,5.11,0.12,0.6,1,"solo","solo","12-13"
2,0.7,2.67,2.14,5.16,0.14,0.6,0,"solo","solo","12-13"
2,0.6,2.65,2.52,5.53,0.13,0,0,"solo","solo","12-13"
2,0.9,2.55,2.49,5.08,0.13,0.8,1,"solo","solo","12-13"
2,0.5,3.32,2.31,5.68,0.17,0.4,1,"solo","solo","12-13"
2,0.6,2.08,1.52,3.74,0.11,0.4,0,"solo","solo","12-13"
2,0.8,2.67,2.14,5.16,0.14,0.4,0,"solo","solo","12-13"
2,0.6,2.55,2.49,5.08,0.13,0.6,1,"solo","solo","12-13"
2,0.8,2.83,2.66,5.55,0.16,0.2,0,"socialsafe","risky","12-13"
2,0.8,2.67,2.14,5.16,0.14,0.4,1,"socialrisky","risky","12-13"
2,0.5,2.83,2.66,5.55,0.16,0,0,"socialsafe","random","12-13"
2,0.7,2.44,2.3,5.11,0.12,0,0,"socialsafe","safe","12-13"
2,0.9,2.83,2.66,5.55,0.16,0.8,0,"socialsafe","risky","12-13"
2,0.6,2.83,2.66,5.55,0.16,0.6,0,"socialsafe","random","12-13"
2,0.9,2.55,2.49,5.08,0.13,0.4,0,"socialsafe","safe","12-13"
2,0.8,2.08,1.52,3.74,0.11,0,1,"socialrisky","safe","12-13"
2,0.9,3.32,2.31,5.68,0.17,0,0,"socialsafe","safe","12-13"
2,0.8,2.55,2.49,5.08,0.13,0.2,1,"socialrisky","risky","12-13"
2,0.4,2.65,2.52,5.53,0.13,0,0,"socialsafe","safe","12-13"
2,0.4,2.65,2.52,5.53,0.13,0.8,1,"socialsafe","safe","12-13"
2,0.7,2.83,2.66,5.55,0.16,0.4,0,"socialsafe","safe","12-13"
2,0.8,2.65,2.52,5.53,0.13,0.4,1,"socialrisky","risky","12-13"
2,0.6,2.67,2.14,5.16,0.14,0.4,0,"socialsafe","safe","12-13"
2,0.7,2.83,2.66,5.55,0.16,0,1,"socialrisky","safe","12-13"
2,0.7,2.08,1.52,3.74,0.11,0.2,1,"socialrisky","random","12-13"
2,0.5,2.83,2.66,5.55,0.16,0.8,0,"socialsafe","safe","12-13"
2,0.7,2.83,2.66,5.55,0.16,0.8,0,"socialrisky","risky","12-13"
2,0.7,3.32,2.31,5.68,0.17,0,1,"socialrisky","risky","12-13"
2,0.5,2.67,2.14,5.16,0.14,0.6,1,"socialsafe","risky","12-13"
2,0.9,2.65,2.52,5.53,0.13,0.2,1,"socialrisky","random","12-13"
2,0.5,1.96,1.8,3.86,0.09,0.6,0,"socialrisky","risky","12-13"
2,0.9,2.65,2.52,5.53,0.13,0.6,0,"socialsafe","safe","12-13"
2,0.9,2.44,2.3,5.11,0.12,0,1,"socialrisky","risky","12-13"
2,0.7,1.96,1.8,3.86,0.09,0.2,1,"socialrisky","safe","12-13"
2,0.5,2.55,2.49,5.08,0.13,0.4,0,"socialsafe","safe","12-13"
2,0.6,2.65,2.52,5.53,0.13,0.4,0,"socialsafe","random","12-13"
2,0.4,2.55,2.49,5.08,0.13,0.2,1,"socialrisky","random","12-13"
2,0.6,1.96,1.8,3.86,0.09,0,1,"socialsafe","random","12-13"
2,0.8,3.32,2.31,5.68,0.17,0.2,1,"socialsafe","risky","12-13"
2,0.6,1.96,1.8,3.86,0.09,0.8,1,"socialsafe","risky","12-13"
2,0.4,3.32,2.31,5.68,0.17,0.6,0,"socialrisky","risky","12-13"
2,0.8,2.08,1.52,3.74,0.11,0.4,0,"socialsafe","safe","12-13"
2,0.8,2.67,2.14,5.16,0.14,0,0,"socialsafe","safe","12-13"
2,0.6,2.08,1.52,3.74,0.11,0.4,0,"socialrisky","risky","12-13"
2,0.4,1.96,1.8,3.86,0.09,0.4,1,"socialsafe","random","12-13"
2,0.8,2.08,1.52,3.74,0.11,0.8,1,"socialrisky","safe","12-13"
2,0.4,1.96,1.8,3.86,0.09,0.8,0,"socialrisky","risky","12-13"
2,0.8,3.32,2.31,5.68,0.17,0.6,1,"socialrisky","risky","12-13"
2,0.9,2.55,2.49,5.08,0.13,0,0,"socialrisky","risky","12-13"
2,0.7,2.65,2.52,5.53,0.13,0.6,1,"socialrisky","safe","12-13"
2,0.7,1.96,1.8,3.86,0.09,0.6,0,"socialsafe","safe","12-13"
2,0.5,2.83,2.66,5.55,0.16,0.4,0,"socialrisky","risky","12-13"
2,0.7,3.32,2.31,5.68,0.17,0.4,0,"socialsafe","random","12-13"
2,0.7,2.65,2.52,5.53,0.13,0.2,1,"socialsafe","safe","12-13"
2,0.9,2.83,2.66,5.55,0.16,0.4,1,"socialrisky","risky","12-13"
2,0.5,2.65,2.52,5.53,0.13,0.2,1,"socialrisky","risky","12-13"
2,0.9,2.08,1.52,3.74,0.11,0.2,0,"socialsafe","random","12-13"
2,0.9,1.96,1.8,3.86,0.09,0.6,1,"socialrisky","safe","12-13"
2,0.7,2.55,2.49,5.08,0.13,0.8,0,"socialsafe","safe","12-13"
2,0.6,2.44,2.3,5.11,0.12,0.2,0,"socialsafe","safe","12-13"
2,0.5,2.55,2.49,5.08,0.13,0,0,"socialrisky","random","12-13"
2,0.6,2.55,2.49,5.08,0.13,0.2,1,"socialsafe","random","12-13"
2,0.4,3.32,2.31,5.68,0.17,0.2,0,"socialsafe","random","12-13"
2,0.5,2.65,2.52,5.53,0.13,0.6,1,"socialsafe","risky","12-13"
2,0.4,1.96,1.8,3.86,0.09,0,1,"socialrisky","safe","12-13"
2,0.9,1.96,1.8,3.86,0.09,0.2,1,"socialsafe","random","12-13"
2,0.5,2.55,2.49,5.08,0.13,0.8,1,"socialrisky","random","12-13"
2,0.9,2.67,2.14,5.16,0.14,0.6,0,"socialsafe","safe","12-13"
2,0.6,2.44,2.3,5.11,0.12,0.6,0,"socialrisky","random","12-13"
2,0.6,2.08,1.52,3.74,0.11,0,0,"socialsafe","safe","12-13"
2,0.4,2.08,1.52,3.74,0.11,0.4,1,"socialsafe","random","12-13"
2,0.6,2.67,2.14,5.16,0.14,0.8,0,"socialrisky","risky","12-13"
2,0.5,2.44,2.3,5.11,0.12,0.4,0,"socialsafe","safe","12-13"
2,0.5,3.32,2.31,5.68,0.17,0,0,"socialsafe","random","12-13"
2,0.8,1.96,1.8,3.86,0.09,0.4,0,"socialsafe","safe","12-13"
2,0.6,2.65,2.52,5.53,0.13,0,1,"socialrisky","random","12-13"
2,0.5,2.44,2.3,5.11,0.12,0,1,"socialrisky","random","12-13"
2,0.5,2.67,2.14,5.16,0.14,0.2,0,"socialrisky","random","12-13"
2,0.9,2.08,1.52,3.74,0.11,0.6,0,"socialrisky","risky","12-13"
2,0.4,2.08,1.52,3.74,0.11,0,0,"socialrisky","random","12-13"
2,0.8,2.65,2.52,5.53,0.13,0.8,0,"socialsafe","safe","12-13"
2,0.7,2.08,1.52,3.74,0.11,0.6,0,"socialsafe","random","12-13"
2,0.4,2.08,1.52,3.74,0.11,0.8,0,"socialrisky","risky","12-13"
2,0.9,3.32,2.31,5.68,0.17,0.4,1,"socialrisky","safe","12-13"
2,0.6,3.32,2.31,5.68,0.17,0.2,1,"socialrisky","random","12-13"
2,0.5,2.08,1.52,3.74,0.11,0.6,0,"socialrisky","risky","12-13"
2,0.4,2.65,2.52,5.53,0.13,0.4,1,"socialrisky","random","12-13"
2,0.5,1.96,1.8,3.86,0.09,0.2,1,"socialsafe","safe","12-13"
2,0.7,2.67,2.14,5.16,0.14,0.6,0,"socialrisky","random","12-13"
2,0.7,2.67,2.14,5.16,0.14,0.2,0,"socialsafe","random","12-13"
2,0.4,2.44,2.3,5.11,0.12,0.2,1,"socialrisky","random","12-13"
2,0.9,2.55,2.49,5.08,0.13,0.8,1,"socialrisky","random","12-13"
2,0.8,1.96,1.8,3.86,0.09,0.8,1,"socialrisky","risky","12-13"
2,0.9,3.32,2.31,5.68,0.17,0.8,0,"socialsafe","random","12-13"
2,0.6,3.32,2.31,5.68,0.17,0.6,0,"socialsafe","safe","12-13"
2,0.7,3.32,2.31,5.68,0.17,0.8,0,"socialrisky","risky","12-13"
2,0.4,2.83,2.66,5.55,0.16,0.6,0,"socialrisky","risky","12-13"
2,0.9,2.67,2.14,5.16,0.14,0.2,0,"socialrisky","random","12-13"
2,0.4,2.67,2.14,5.16,0.14,0,1,"socialsafe","random","12-13"
2,0.8,2.67,2.14,5.16,0.14,0.8,1,"socialsafe","safe","12-13"
2,0.7,2.44,2.3,5.11,0.12,0.4,1,"socialrisky","risky","12-13"
2,0.8,2.83,2.66,5.55,0.16,0.6,1,"socialrisky","risky","12-13"
2,0.6,2.83,2.66,5.55,0.16,0.2,1,"socialrisky","safe","12-13"
2,0.4,2.55,2.49,5.08,0.13,0.6,0,"socialsafe","safe","12-13"
2,0.4,2.67,2.14,5.16,0.14,0.4,0,"socialrisky","random","12-13"
